Skateboard Sprite Map Metadata
==============================

Grid size: 118x118
Sprite dimensions: 64x64 pixels
Total sprites: 13824
Rotation increment: 15 degrees

Sprite positions (x_y_z -> row,column):
0.0_30.0_165.0 -> 0,59
0.0_30.0_180.0 -> 0,60
0.0_30.0_195.0 -> 0,61
0.0_30.0_210.0 -> 0,62
0.0_30.0_225.0 -> 0,63
0.0_30.0_240.0 -> 0,64
0.0_30.0_255.0 -> 0,65
0.0_30.0_270.0 -> 0,66
0.0_30.0_285.0 -> 0,67
0.0_30.0_300.0 -> 0,68
0.0_30.0_315.0 -> 0,69
0.0_30.0_330.0 -> 0,70
0.0_30.0_345.0 -> 0,71
0.0_45.0_0.0 -> 0,72
0.0_45.0_15.0 -> 0,73
0.0_45.0_30.0 -> 0,74
0.0_45.0_45.0 -> 0,75
0.0_45.0_60.0 -> 0,76
0.0_45.0_75.0 -> 0,77
0.0_45.0_90.0 -> 0,78
0.0_45.0_105.0 -> 0,79
0.0_45.0_120.0 -> 0,80
0.0_45.0_135.0 -> 0,81
0.0_45.0_150.0 -> 0,82
0.0_45.0_165.0 -> 0,83
0.0_45.0_180.0 -> 0,84
0.0_45.0_195.0 -> 0,85
0.0_45.0_210.0 -> 0,86
0.0_45.0_225.0 -> 0,87
0.0_45.0_240.0 -> 0,88
0.0_45.0_255.0 -> 0,89
0.0_45.0_270.0 -> 0,90
0.0_45.0_285.0 -> 0,91
0.0_45.0_300.0 -> 0,92
0.0_45.0_315.0 -> 0,93
0.0_45.0_330.0 -> 0,94
0.0_45.0_345.0 -> 0,95
0.0_60.0_0.0 -> 0,96
0.0_60.0_15.0 -> 0,97
0.0_60.0_30.0 -> 0,98
0.0_60.0_45.0 -> 0,99
0.0_60.0_60.0 -> 0,100
0.0_60.0_75.0 -> 0,101
0.0_60.0_90.0 -> 0,102
0.0_60.0_105.0 -> 0,103
0.0_60.0_120.0 -> 0,104
0.0_60.0_135.0 -> 0,105
0.0_60.0_150.0 -> 0,106
0.0_60.0_165.0 -> 0,107
0.0_60.0_180.0 -> 0,108
0.0_60.0_195.0 -> 0,109
0.0_60.0_210.0 -> 0,110
0.0_60.0_225.0 -> 0,111
0.0_60.0_240.0 -> 0,112
0.0_60.0_255.0 -> 0,113
0.0_60.0_270.0 -> 0,114
0.0_60.0_285.0 -> 0,115
0.0_60.0_300.0 -> 0,116
0.0_60.0_315.0 -> 0,117
0.0_60.0_330.0 -> 1,0
0.0_60.0_345.0 -> 1,1
0.0_75.0_0.0 -> 1,2
0.0_75.0_15.0 -> 1,3
0.0_75.0_30.0 -> 1,4
0.0_75.0_45.0 -> 1,5
0.0_75.0_60.0 -> 1,6
0.0_75.0_75.0 -> 1,7
0.0_75.0_90.0 -> 1,8
0.0_75.0_105.0 -> 1,9
0.0_75.0_120.0 -> 1,10
0.0_75.0_135.0 -> 1,11
0.0_75.0_150.0 -> 1,12
0.0_75.0_165.0 -> 1,13
0.0_75.0_180.0 -> 1,14
0.0_75.0_195.0 -> 1,15
0.0_75.0_210.0 -> 1,16
0.0_75.0_225.0 -> 1,17
0.0_75.0_240.0 -> 1,18
0.0_75.0_255.0 -> 1,19
0.0_75.0_270.0 -> 1,20
0.0_75.0_285.0 -> 1,21
0.0_75.0_300.0 -> 1,22
0.0_75.0_315.0 -> 1,23
0.0_75.0_330.0 -> 1,24
0.0_75.0_345.0 -> 1,25
0.0_90.0_0.0 -> 1,26
0.0_90.0_15.0 -> 1,27
0.0_90.0_30.0 -> 1,28
0.0_90.0_45.0 -> 1,29
0.0_90.0_60.0 -> 1,30
0.0_90.0_75.0 -> 1,31
0.0_90.0_90.0 -> 1,32
0.0_90.0_105.0 -> 1,33
0.0_90.0_120.0 -> 1,34
0.0_90.0_135.0 -> 1,35
0.0_90.0_150.0 -> 1,36
0.0_90.0_165.0 -> 1,37
0.0_90.0_180.0 -> 1,38
0.0_90.0_195.0 -> 1,39
0.0_90.0_210.0 -> 1,40
0.0_90.0_225.0 -> 1,41
0.0_90.0_240.0 -> 1,42
0.0_90.0_255.0 -> 1,43
0.0_90.0_270.0 -> 1,44
0.0_90.0_285.0 -> 1,45
0.0_90.0_300.0 -> 1,46
0.0_90.0_315.0 -> 1,47
0.0_90.0_330.0 -> 1,48
0.0_90.0_345.0 -> 1,49
0.0_105.0_0.0 -> 1,50
0.0_105.0_15.0 -> 1,51
0.0_105.0_30.0 -> 1,52
0.0_105.0_45.0 -> 1,53
0.0_105.0_60.0 -> 1,54
0.0_105.0_75.0 -> 1,55
0.0_105.0_90.0 -> 1,56
0.0_105.0_105.0 -> 1,57
0.0_105.0_120.0 -> 1,58
0.0_105.0_135.0 -> 1,59
0.0_105.0_150.0 -> 1,60
0.0_105.0_165.0 -> 1,61
0.0_105.0_180.0 -> 1,62
0.0_105.0_195.0 -> 1,63
0.0_105.0_210.0 -> 1,64
0.0_105.0_225.0 -> 1,65
0.0_105.0_240.0 -> 1,66
0.0_105.0_255.0 -> 1,67
0.0_105.0_270.0 -> 1,68
0.0_105.0_285.0 -> 1,69
0.0_105.0_300.0 -> 1,70
0.0_105.0_315.0 -> 1,71
0.0_105.0_330.0 -> 1,72
0.0_105.0_345.0 -> 1,73
0.0_120.0_0.0 -> 1,74
0.0_120.0_15.0 -> 1,75
0.0_120.0_30.0 -> 1,76
0.0_120.0_45.0 -> 1,77
0.0_120.0_60.0 -> 1,78
0.0_120.0_75.0 -> 1,79
0.0_120.0_90.0 -> 1,80
0.0_120.0_105.0 -> 1,81
0.0_120.0_120.0 -> 1,82
0.0_120.0_135.0 -> 1,83
0.0_120.0_150.0 -> 1,84
0.0_120.0_165.0 -> 1,85
0.0_120.0_180.0 -> 1,86
0.0_120.0_195.0 -> 1,87
0.0_120.0_210.0 -> 1,88
0.0_120.0_225.0 -> 1,89
0.0_120.0_240.0 -> 1,90
0.0_120.0_255.0 -> 1,91
0.0_120.0_270.0 -> 1,92
0.0_120.0_285.0 -> 1,93
0.0_120.0_300.0 -> 1,94
0.0_120.0_315.0 -> 1,95
0.0_120.0_330.0 -> 1,96
0.0_120.0_345.0 -> 1,97
0.0_135.0_0.0 -> 1,98
0.0_135.0_15.0 -> 1,99
0.0_135.0_30.0 -> 1,100
0.0_135.0_45.0 -> 1,101
0.0_135.0_60.0 -> 1,102
0.0_135.0_75.0 -> 1,103
0.0_135.0_90.0 -> 1,104
0.0_135.0_105.0 -> 1,105
0.0_135.0_120.0 -> 1,106
0.0_135.0_135.0 -> 1,107
0.0_135.0_150.0 -> 1,108
0.0_135.0_165.0 -> 1,109
0.0_135.0_180.0 -> 1,110
0.0_135.0_195.0 -> 1,111
0.0_135.0_210.0 -> 1,112
0.0_135.0_225.0 -> 1,113
0.0_135.0_240.0 -> 1,114
0.0_135.0_255.0 -> 1,115
0.0_135.0_270.0 -> 1,116
0.0_135.0_285.0 -> 1,117
0.0_135.0_300.0 -> 2,0
0.0_135.0_315.0 -> 2,1
0.0_135.0_330.0 -> 2,2
0.0_135.0_345.0 -> 2,3
0.0_150.0_0.0 -> 2,4
0.0_150.0_15.0 -> 2,5
0.0_150.0_30.0 -> 2,6
0.0_150.0_45.0 -> 2,7
0.0_150.0_60.0 -> 2,8
0.0_150.0_75.0 -> 2,9
0.0_150.0_90.0 -> 2,10
0.0_150.0_105.0 -> 2,11
0.0_150.0_120.0 -> 2,12
0.0_150.0_135.0 -> 2,13
0.0_150.0_150.0 -> 2,14
0.0_150.0_165.0 -> 2,15
0.0_150.0_180.0 -> 2,16
0.0_150.0_195.0 -> 2,17
0.0_150.0_210.0 -> 2,18
0.0_150.0_225.0 -> 2,19
0.0_150.0_240.0 -> 2,20
0.0_150.0_255.0 -> 2,21
0.0_150.0_270.0 -> 2,22
0.0_150.0_285.0 -> 2,23
0.0_150.0_300.0 -> 2,24
0.0_150.0_315.0 -> 2,25
0.0_150.0_330.0 -> 2,26
0.0_150.0_345.0 -> 2,27
0.0_165.0_0.0 -> 2,28
0.0_165.0_15.0 -> 2,29
0.0_165.0_30.0 -> 2,30
0.0_165.0_45.0 -> 2,31
0.0_165.0_60.0 -> 2,32
0.0_165.0_75.0 -> 2,33
0.0_165.0_90.0 -> 2,34
0.0_165.0_105.0 -> 2,35
0.0_165.0_120.0 -> 2,36
0.0_165.0_135.0 -> 2,37
0.0_165.0_150.0 -> 2,38
0.0_165.0_165.0 -> 2,39
0.0_165.0_180.0 -> 2,40
0.0_165.0_195.0 -> 2,41
0.0_165.0_210.0 -> 2,42
0.0_165.0_225.0 -> 2,43
0.0_165.0_240.0 -> 2,44
0.0_165.0_255.0 -> 2,45
0.0_165.0_270.0 -> 2,46
0.0_165.0_285.0 -> 2,47
0.0_165.0_300.0 -> 2,48
0.0_165.0_315.0 -> 2,49
0.0_165.0_330.0 -> 2,50
0.0_165.0_345.0 -> 2,51
0.0_180.0_0.0 -> 2,52
0.0_180.0_15.0 -> 2,53
0.0_180.0_30.0 -> 2,54
0.0_180.0_45.0 -> 2,55
0.0_180.0_60.0 -> 2,56
0.0_180.0_75.0 -> 2,57
0.0_180.0_90.0 -> 2,58
0.0_180.0_105.0 -> 2,59
0.0_180.0_120.0 -> 2,60
0.0_180.0_135.0 -> 2,61
0.0_180.0_150.0 -> 2,62
0.0_180.0_165.0 -> 2,63
0.0_180.0_180.0 -> 2,64
0.0_180.0_195.0 -> 2,65
0.0_180.0_210.0 -> 2,66
0.0_180.0_225.0 -> 2,67
0.0_180.0_240.0 -> 2,68
0.0_180.0_255.0 -> 2,69
0.0_180.0_270.0 -> 2,70
0.0_180.0_285.0 -> 2,71
0.0_180.0_300.0 -> 2,72
0.0_180.0_315.0 -> 2,73
0.0_180.0_330.0 -> 2,74
0.0_180.0_345.0 -> 2,75
0.0_195.0_0.0 -> 2,76
0.0_195.0_15.0 -> 2,77
0.0_195.0_30.0 -> 2,78
0.0_195.0_45.0 -> 2,79
0.0_195.0_60.0 -> 2,80
0.0_195.0_75.0 -> 2,81
0.0_195.0_90.0 -> 2,82
0.0_195.0_105.0 -> 2,83
0.0_195.0_120.0 -> 2,84
0.0_195.0_135.0 -> 2,85
0.0_195.0_150.0 -> 2,86
0.0_195.0_165.0 -> 2,87
0.0_195.0_180.0 -> 2,88
0.0_195.0_195.0 -> 2,89
0.0_195.0_210.0 -> 2,90
0.0_195.0_225.0 -> 2,91
0.0_195.0_240.0 -> 2,92
0.0_195.0_255.0 -> 2,93
0.0_195.0_270.0 -> 2,94
0.0_195.0_285.0 -> 2,95
0.0_195.0_300.0 -> 2,96
0.0_195.0_315.0 -> 2,97
0.0_195.0_330.0 -> 2,98
0.0_195.0_345.0 -> 2,99
0.0_210.0_0.0 -> 2,100
0.0_210.0_15.0 -> 2,101
0.0_210.0_30.0 -> 2,102
0.0_210.0_45.0 -> 2,103
0.0_210.0_60.0 -> 2,104
0.0_210.0_75.0 -> 2,105
0.0_210.0_90.0 -> 2,106
0.0_210.0_105.0 -> 2,107
0.0_210.0_120.0 -> 2,108
0.0_210.0_135.0 -> 2,109
0.0_210.0_150.0 -> 2,110
0.0_210.0_165.0 -> 2,111
0.0_210.0_180.0 -> 2,112
0.0_210.0_195.0 -> 2,113
0.0_210.0_210.0 -> 2,114
0.0_210.0_225.0 -> 2,115
0.0_210.0_240.0 -> 2,116
0.0_210.0_255.0 -> 2,117
0.0_210.0_270.0 -> 3,0
0.0_210.0_285.0 -> 3,1
0.0_210.0_300.0 -> 3,2
0.0_210.0_315.0 -> 3,3
0.0_210.0_330.0 -> 3,4
0.0_210.0_345.0 -> 3,5
0.0_225.0_0.0 -> 3,6
0.0_225.0_15.0 -> 3,7
0.0_225.0_30.0 -> 3,8
0.0_225.0_45.0 -> 3,9
0.0_225.0_60.0 -> 3,10
0.0_225.0_75.0 -> 3,11
0.0_225.0_90.0 -> 3,12
0.0_225.0_105.0 -> 3,13
0.0_225.0_120.0 -> 3,14
0.0_225.0_135.0 -> 3,15
0.0_225.0_150.0 -> 3,16
0.0_225.0_165.0 -> 3,17
0.0_225.0_180.0 -> 3,18
0.0_225.0_195.0 -> 3,19
0.0_225.0_210.0 -> 3,20
0.0_225.0_225.0 -> 3,21
0.0_225.0_240.0 -> 3,22
0.0_225.0_255.0 -> 3,23
0.0_225.0_270.0 -> 3,24
0.0_225.0_285.0 -> 3,25
0.0_225.0_300.0 -> 3,26
0.0_225.0_315.0 -> 3,27
0.0_225.0_330.0 -> 3,28
0.0_225.0_345.0 -> 3,29
0.0_240.0_0.0 -> 3,30
0.0_240.0_15.0 -> 3,31
0.0_240.0_30.0 -> 3,32
0.0_240.0_45.0 -> 3,33
0.0_240.0_60.0 -> 3,34
0.0_240.0_75.0 -> 3,35
0.0_240.0_90.0 -> 3,36
0.0_240.0_105.0 -> 3,37
0.0_240.0_120.0 -> 3,38
0.0_240.0_135.0 -> 3,39
0.0_240.0_150.0 -> 3,40
0.0_240.0_165.0 -> 3,41
0.0_240.0_180.0 -> 3,42
0.0_240.0_195.0 -> 3,43
0.0_240.0_210.0 -> 3,44
0.0_240.0_225.0 -> 3,45
0.0_240.0_240.0 -> 3,46
0.0_240.0_255.0 -> 3,47
0.0_240.0_270.0 -> 3,48
0.0_240.0_285.0 -> 3,49
0.0_240.0_300.0 -> 3,50
0.0_240.0_315.0 -> 3,51
0.0_240.0_330.0 -> 3,52
0.0_240.0_345.0 -> 3,53
0.0_255.0_0.0 -> 3,54
0.0_255.0_15.0 -> 3,55
0.0_255.0_30.0 -> 3,56
0.0_255.0_45.0 -> 3,57
0.0_255.0_60.0 -> 3,58
0.0_255.0_75.0 -> 3,59
0.0_255.0_90.0 -> 3,60
0.0_255.0_105.0 -> 3,61
0.0_255.0_120.0 -> 3,62
0.0_255.0_135.0 -> 3,63
0.0_255.0_150.0 -> 3,64
0.0_255.0_165.0 -> 3,65
0.0_255.0_180.0 -> 3,66
0.0_255.0_195.0 -> 3,67
0.0_255.0_210.0 -> 3,68
0.0_255.0_225.0 -> 3,69
0.0_255.0_240.0 -> 3,70
0.0_255.0_255.0 -> 3,71
0.0_255.0_270.0 -> 3,72
0.0_255.0_285.0 -> 3,73
0.0_255.0_300.0 -> 3,74
0.0_255.0_315.0 -> 3,75
0.0_255.0_330.0 -> 3,76
0.0_255.0_345.0 -> 3,77
0.0_270.0_0.0 -> 3,78
0.0_270.0_15.0 -> 3,79
0.0_270.0_30.0 -> 3,80
0.0_270.0_45.0 -> 3,81
0.0_270.0_60.0 -> 3,82
0.0_270.0_75.0 -> 3,83
0.0_270.0_90.0 -> 3,84
0.0_270.0_105.0 -> 3,85
0.0_270.0_120.0 -> 3,86
0.0_270.0_135.0 -> 3,87
0.0_270.0_150.0 -> 3,88
0.0_270.0_165.0 -> 3,89
0.0_270.0_180.0 -> 3,90
0.0_270.0_195.0 -> 3,91
0.0_270.0_210.0 -> 3,92
0.0_270.0_225.0 -> 3,93
0.0_270.0_240.0 -> 3,94
0.0_270.0_255.0 -> 3,95
0.0_270.0_270.0 -> 3,96
0.0_270.0_285.0 -> 3,97
0.0_270.0_300.0 -> 3,98
0.0_270.0_315.0 -> 3,99
0.0_270.0_330.0 -> 3,100
0.0_270.0_345.0 -> 3,101
0.0_285.0_0.0 -> 3,102
0.0_285.0_15.0 -> 3,103
0.0_285.0_30.0 -> 3,104
0.0_285.0_45.0 -> 3,105
0.0_285.0_60.0 -> 3,106
0.0_285.0_75.0 -> 3,107
0.0_285.0_90.0 -> 3,108
0.0_285.0_105.0 -> 3,109
0.0_285.0_120.0 -> 3,110
0.0_285.0_135.0 -> 3,111
0.0_285.0_150.0 -> 3,112
0.0_285.0_165.0 -> 3,113
0.0_285.0_180.0 -> 3,114
0.0_285.0_195.0 -> 3,115
0.0_285.0_210.0 -> 3,116
0.0_285.0_225.0 -> 3,117
0.0_285.0_240.0 -> 4,0
0.0_285.0_255.0 -> 4,1
0.0_285.0_270.0 -> 4,2
0.0_285.0_285.0 -> 4,3
0.0_285.0_300.0 -> 4,4
0.0_285.0_315.0 -> 4,5
0.0_285.0_330.0 -> 4,6
0.0_285.0_345.0 -> 4,7
0.0_300.0_0.0 -> 4,8
0.0_300.0_15.0 -> 4,9
0.0_300.0_30.0 -> 4,10
0.0_300.0_45.0 -> 4,11
0.0_300.0_60.0 -> 4,12
0.0_300.0_75.0 -> 4,13
0.0_300.0_90.0 -> 4,14
0.0_300.0_105.0 -> 4,15
0.0_300.0_120.0 -> 4,16
0.0_300.0_135.0 -> 4,17
0.0_300.0_150.0 -> 4,18
0.0_300.0_165.0 -> 4,19
0.0_300.0_180.0 -> 4,20
0.0_300.0_195.0 -> 4,21
0.0_300.0_210.0 -> 4,22
0.0_300.0_225.0 -> 4,23
0.0_300.0_240.0 -> 4,24
0.0_300.0_255.0 -> 4,25
0.0_300.0_270.0 -> 4,26
0.0_300.0_285.0 -> 4,27
0.0_300.0_300.0 -> 4,28
0.0_300.0_315.0 -> 4,29
0.0_300.0_330.0 -> 4,30
0.0_300.0_345.0 -> 4,31
0.0_315.0_0.0 -> 4,32
0.0_315.0_15.0 -> 4,33
0.0_315.0_30.0 -> 4,34
0.0_315.0_45.0 -> 4,35
0.0_315.0_60.0 -> 4,36
0.0_315.0_75.0 -> 4,37
0.0_315.0_90.0 -> 4,38
0.0_315.0_105.0 -> 4,39
0.0_315.0_120.0 -> 4,40
0.0_315.0_135.0 -> 4,41
0.0_315.0_150.0 -> 4,42
0.0_315.0_165.0 -> 4,43
0.0_315.0_180.0 -> 4,44
0.0_315.0_195.0 -> 4,45
0.0_315.0_210.0 -> 4,46
0.0_315.0_225.0 -> 4,47
0.0_315.0_240.0 -> 4,48
0.0_315.0_255.0 -> 4,49
0.0_315.0_270.0 -> 4,50
0.0_315.0_285.0 -> 4,51
0.0_315.0_300.0 -> 4,52
0.0_315.0_315.0 -> 4,53
0.0_315.0_330.0 -> 4,54
0.0_315.0_345.0 -> 4,55
0.0_330.0_0.0 -> 4,56
0.0_330.0_15.0 -> 4,57
0.0_330.0_30.0 -> 4,58
0.0_330.0_45.0 -> 4,59
0.0_330.0_60.0 -> 4,60
0.0_330.0_75.0 -> 4,61
0.0_330.0_90.0 -> 4,62
0.0_330.0_105.0 -> 4,63
0.0_330.0_120.0 -> 4,64
0.0_330.0_135.0 -> 4,65
0.0_330.0_150.0 -> 4,66
0.0_330.0_165.0 -> 4,67
0.0_330.0_180.0 -> 4,68
0.0_330.0_195.0 -> 4,69
0.0_330.0_210.0 -> 4,70
0.0_330.0_225.0 -> 4,71
0.0_330.0_240.0 -> 4,72
0.0_330.0_255.0 -> 4,73
0.0_330.0_270.0 -> 4,74
0.0_330.0_285.0 -> 4,75
0.0_330.0_300.0 -> 4,76
0.0_330.0_315.0 -> 4,77
0.0_330.0_330.0 -> 4,78
0.0_330.0_345.0 -> 4,79
0.0_345.0_0.0 -> 4,80
0.0_345.0_15.0 -> 4,81
0.0_345.0_30.0 -> 4,82
0.0_345.0_45.0 -> 4,83
0.0_345.0_60.0 -> 4,84
0.0_345.0_75.0 -> 4,85
0.0_345.0_90.0 -> 4,86
0.0_345.0_105.0 -> 4,87
0.0_345.0_120.0 -> 4,88
0.0_345.0_135.0 -> 4,89
0.0_345.0_150.0 -> 4,90
0.0_345.0_165.0 -> 4,91
0.0_345.0_180.0 -> 4,92
0.0_345.0_195.0 -> 4,93
0.0_345.0_210.0 -> 4,94
0.0_345.0_225.0 -> 4,95
0.0_345.0_240.0 -> 4,96
0.0_345.0_255.0 -> 4,97
0.0_345.0_270.0 -> 4,98
0.0_345.0_285.0 -> 4,99
0.0_345.0_300.0 -> 4,100
0.0_345.0_315.0 -> 4,101
0.0_345.0_330.0 -> 4,102
0.0_345.0_345.0 -> 4,103
15.0_0.0_0.0 -> 4,104
15.0_0.0_15.0 -> 4,105
15.0_0.0_30.0 -> 4,106
15.0_0.0_45.0 -> 4,107
15.0_0.0_60.0 -> 4,108
15.0_0.0_75.0 -> 4,109
15.0_0.0_90.0 -> 4,110
15.0_0.0_105.0 -> 4,111
15.0_0.0_120.0 -> 4,112
15.0_0.0_135.0 -> 4,113
15.0_0.0_150.0 -> 4,114
15.0_0.0_165.0 -> 4,115
15.0_0.0_180.0 -> 4,116
15.0_0.0_195.0 -> 4,117
15.0_0.0_210.0 -> 5,0
15.0_0.0_225.0 -> 5,1
15.0_0.0_240.0 -> 5,2
15.0_0.0_255.0 -> 5,3
15.0_0.0_270.0 -> 5,4
15.0_0.0_285.0 -> 5,5
15.0_0.0_300.0 -> 5,6
15.0_0.0_315.0 -> 5,7
15.0_0.0_330.0 -> 5,8
15.0_0.0_345.0 -> 5,9
15.0_15.0_0.0 -> 5,10
15.0_15.0_15.0 -> 5,11
15.0_15.0_30.0 -> 5,12
15.0_15.0_45.0 -> 5,13
15.0_15.0_60.0 -> 5,14
15.0_15.0_75.0 -> 5,15
15.0_15.0_90.0 -> 5,16
15.0_15.0_105.0 -> 5,17
15.0_15.0_120.0 -> 5,18
15.0_15.0_135.0 -> 5,19
15.0_15.0_150.0 -> 5,20
15.0_15.0_165.0 -> 5,21
15.0_15.0_180.0 -> 5,22
15.0_15.0_195.0 -> 5,23
15.0_15.0_210.0 -> 5,24
15.0_15.0_225.0 -> 5,25
15.0_15.0_240.0 -> 5,26
15.0_15.0_255.0 -> 5,27
15.0_15.0_270.0 -> 5,28
15.0_15.0_285.0 -> 5,29
15.0_15.0_300.0 -> 5,30
15.0_15.0_315.0 -> 5,31
15.0_15.0_330.0 -> 5,32
15.0_15.0_345.0 -> 5,33
15.0_30.0_0.0 -> 5,34
15.0_30.0_15.0 -> 5,35
15.0_30.0_30.0 -> 5,36
15.0_30.0_45.0 -> 5,37
15.0_30.0_60.0 -> 5,38
15.0_30.0_75.0 -> 5,39
15.0_30.0_90.0 -> 5,40
15.0_30.0_105.0 -> 5,41
15.0_30.0_120.0 -> 5,42
15.0_30.0_135.0 -> 5,43
15.0_30.0_150.0 -> 5,44
15.0_30.0_165.0 -> 5,45
15.0_30.0_180.0 -> 5,46
15.0_30.0_195.0 -> 5,47
15.0_30.0_210.0 -> 5,48
15.0_30.0_225.0 -> 5,49
15.0_30.0_240.0 -> 5,50
15.0_30.0_255.0 -> 5,51
15.0_30.0_270.0 -> 5,52
15.0_30.0_285.0 -> 5,53
15.0_30.0_300.0 -> 5,54
15.0_30.0_315.0 -> 5,55
15.0_30.0_330.0 -> 5,56
15.0_30.0_345.0 -> 5,57
15.0_45.0_0.0 -> 5,58
15.0_45.0_15.0 -> 5,59
15.0_45.0_30.0 -> 5,60
15.0_45.0_45.0 -> 5,61
15.0_45.0_60.0 -> 5,62
15.0_45.0_75.0 -> 5,63
15.0_45.0_90.0 -> 5,64
15.0_45.0_105.0 -> 5,65
15.0_45.0_120.0 -> 5,66
15.0_45.0_135.0 -> 5,67
15.0_45.0_150.0 -> 5,68
15.0_45.0_165.0 -> 5,69
15.0_45.0_180.0 -> 5,70
15.0_45.0_195.0 -> 5,71
15.0_45.0_210.0 -> 5,72
15.0_45.0_225.0 -> 5,73
15.0_45.0_240.0 -> 5,74
15.0_45.0_255.0 -> 5,75
15.0_45.0_270.0 -> 5,76
15.0_45.0_285.0 -> 5,77
15.0_45.0_300.0 -> 5,78
15.0_45.0_315.0 -> 5,79
15.0_45.0_330.0 -> 5,80
15.0_45.0_345.0 -> 5,81
15.0_60.0_0.0 -> 5,82
15.0_60.0_15.0 -> 5,83
15.0_60.0_30.0 -> 5,84
15.0_60.0_45.0 -> 5,85
15.0_60.0_60.0 -> 5,86
15.0_60.0_75.0 -> 5,87
15.0_60.0_90.0 -> 5,88
15.0_60.0_105.0 -> 5,89
15.0_60.0_120.0 -> 5,90
15.0_60.0_135.0 -> 5,91
15.0_60.0_150.0 -> 5,92
15.0_60.0_165.0 -> 5,93
15.0_60.0_180.0 -> 5,94
15.0_60.0_195.0 -> 5,95
15.0_60.0_210.0 -> 5,96
15.0_60.0_225.0 -> 5,97
15.0_60.0_240.0 -> 5,98
15.0_60.0_255.0 -> 5,99
15.0_60.0_270.0 -> 5,100
15.0_60.0_285.0 -> 5,101
15.0_60.0_300.0 -> 5,102
15.0_60.0_315.0 -> 5,103
15.0_60.0_330.0 -> 5,104
15.0_60.0_345.0 -> 5,105
15.0_75.0_0.0 -> 5,106
15.0_75.0_15.0 -> 5,107
15.0_75.0_30.0 -> 5,108
15.0_75.0_45.0 -> 5,109
15.0_75.0_60.0 -> 5,110
15.0_75.0_75.0 -> 5,111
15.0_75.0_90.0 -> 5,112
15.0_75.0_105.0 -> 5,113
15.0_75.0_120.0 -> 5,114
15.0_75.0_135.0 -> 5,115
15.0_75.0_150.0 -> 5,116
15.0_75.0_165.0 -> 5,117
15.0_75.0_180.0 -> 6,0
15.0_75.0_195.0 -> 6,1
15.0_75.0_210.0 -> 6,2
15.0_75.0_225.0 -> 6,3
15.0_75.0_240.0 -> 6,4
15.0_75.0_255.0 -> 6,5
15.0_75.0_270.0 -> 6,6
15.0_75.0_285.0 -> 6,7
15.0_75.0_300.0 -> 6,8
15.0_75.0_315.0 -> 6,9
15.0_75.0_330.0 -> 6,10
15.0_75.0_345.0 -> 6,11
15.0_90.0_0.0 -> 6,12
15.0_90.0_15.0 -> 6,13
15.0_90.0_30.0 -> 6,14
15.0_90.0_45.0 -> 6,15
15.0_90.0_60.0 -> 6,16
15.0_90.0_75.0 -> 6,17
